year_month,q1_polarization,q2_polarization,q3_polarization,q4_polarization
2022-03,19.968979886147597,21.818623951115597,-2.4504382563332863,12.769670418357093
2022-04,29.187411939676807,30.27016668722863,3.931609773173652,22.2432149780973
2022-05,36.70169823824752,12.837510978347336,-6.219543949587305,32.09296857211227
2022-06,14.150831658218094,12.03656914595463,-4.843452740506365,11.20978411001885
2022-07,39.69731341333724,23.585430982916535,16.31255278161936,23.23930546771785
2022-08,23.493171991639585,15.789121845614412,-9.67464968716301,11.99810617603173
2022-09,40.33633774456976,30.954330479549824,31.408058753076677,35.6262497275345
2022-10,39.34476896622999,20.554817574245284,10.586447024740204,42.15420375110154
2022-11,35.68709475730685,9.153034704757566,-1.8712425361425744,30.1888582827927
2022-12,41.621635424008375,25.489091991803143,3.680641957011909,46.83724685067693
2023-01,31.79647862160208,29.19953436921213,-16.031960430581,38.60079328183048
2023-02,35.38737231922933,21.60863086124661,30.44761186395906,31.855651777214877
2023-03,37.12578446744588,36.61905849628228,27.16804959625369,45.6863087424921
2023-04,32.49789947029008,27.358492999095624,42.53584939008854,36.456673542262656
2023-05,27.49930123577101,21.009994322606325,34.55181319216163,26.935485666884052
2023-06,25.71324208038159,15.074142925810207,8.416472876829195,27.87579313936016
2023-07,29.383080146555763,9.903036622323045,11.178910016256363,35.94463504890528
2023-08,29.781083213550914,8.17693967025891,9.192702326116564,32.23297361416594
2023-09,41.271931705613255,20.202652779189048,18.78766152308552,38.1137525680113
2023-10,40.78014034512094,22.65931353414144,8.906538004697282,32.58111121553132
2023-11,35.94284144791523,7.312421275042677,-4.18618818695602,30.586602818045872
2023-12,40.423281061443845,20.29540002804543,2.0644146287274108,45.40768844229408
2024-01,39.40252177887654,13.145205220056528,-1.1803090783931225,35.68220338093042
2024-02,41.889201128166896,12.691423211043418,7.720130575380111,29.507260639771108
2024-03,41.88287375987609,21.22181306260085,13.598435003755846,21.683976375092605
2024-04,35.18767131484606,15.968059800610492,8.142849851431166,22.94124174613906
2024-05,35.80912090529779,9.623585819843434,29.37332395677892,45.27257791058662
2024-06,46.48207567430694,29.21668172708353,26.89943962151628,38.65674064184988
2024-07,42.05405671286235,30.01054800998396,22.99365350054381,16.414632185599157
2024-08,40.50181432113925,23.83776431458292,18.49493648291697,44.93358652855238
2024-09,38.40279819744461,36.738106151094215,14.12711948783645,39.56257600871092
2024-10,40.08625063999523,39.22130333317796,5.0642365278302615,23.533992489381376
2024-11,41.0867992308096,22.015067185092224,5.172445125182955,13.624475869954075
2024-12,34.93691958961276,19.01186295641261,11.198951682055275,16.227215850065456
