replicate,block_length,uncertainty_layer,full_r_squared,q2_contribution,q3_contribution,q4_contribution,q4_minus_q2,q4_minus_q3,q1_q2_correlation,q1_q3_correlation,q1_q4_correlation
1,4,temporal_only,0.41480167740890184,0.06191986216226767,0.022437409483499798,0.3304444057631344,0.2685245436008667,0.30800699627963457,0.3051623707107445,0.17887536912036875,0.5985837128245413
1,4,measurement_and_temporal,0.5272206849711977,0.07173362540995654,0.046368570863946856,0.4091184886972943,0.33738486328733774,0.3627499178333474,0.3714648371754639,0.32319075719665347,0.6983853516629209
2,4,temporal_only,0.2976135091758366,0.030047334669793757,0.0009943254912933575,0.2665718490147495,0.23652451434495575,0.26557752352345615,0.2419579949700519,0.018440743192617577,0.5454201398406082
2,4,measurement_and_temporal,0.2594123635390325,0.011168567775889279,0.016257162227678274,0.23198663353546498,0.2208180657595757,0.2157294713077867,0.04403262406816676,-0.055565014991736585,0.458720926706089
3,4,temporal_only,0.1720221137269773,0.08323400259378842,0.031017542838525185,0.057770568294663684,-0.02546343429912474,0.026753025456138498,0.2872289263519819,-0.10499892135732761,0.24388615948055484
3,4,measurement_and_temporal,0.09098086603484135,0.05966062724267631,0.002163739808508832,0.029156498983656205,-0.030504128259020106,0.026992759175147374,0.2296775278974473,0.007265766430757463,0.15233633432522437
4,4,temporal_only,0.570306669979324,0.06375979707176471,0.01267167853607315,0.49387519437148614,0.4301153972997214,0.481203515835413,0.3622909590190633,0.19214801990001112,0.749152747600758
4,4,measurement_and_temporal,0.4686502528436992,0.052081228389051604,0.13264755662695477,0.28392146782769284,0.23184023943864124,0.15127391120073808,0.3633730191244734,0.45388075063576105,0.6098421186580475
5,4,temporal_only,0.19988590307108445,0.04781166863874355,0.03295829407534736,0.11911594035699354,0.07130427171824999,0.08615764628164618,0.22133528909069386,0.2406450258667351,0.3653141915222718
5,4,measurement_and_temporal,0.261829179658035,0.1865082630962461,0.027482030879061592,0.04783888568272732,-0.13866937741351879,0.020356854803665725,0.45321587236430994,0.2433845696089211,0.24029843436669285
6,4,temporal_only,0.131268433525924,0.03072082702372166,0.010508823382458473,0.09003878311974385,0.059317956096022195,0.07952995973728538,0.22210720873495002,0.1472470227090144,0.33038393362792723
6,4,measurement_and_temporal,0.23104175838319596,0.03600973556643766,0.008379922206364188,0.18665210061039414,0.15064236504395648,0.17827217840402995,0.243490917402142,0.142948487825597,0.46265828302296785
7,4,temporal_only,0.09115140971702351,0.04337518923916628,0.04314384493767215,0.004632375540185085,-0.03874281369898119,-0.038511469397487064,0.2341696655344927,0.24390744613945323,0.0692516526296313
7,4,measurement_and_temporal,0.4900137736548633,0.08637587132796193,0.3104570117366467,0.0931808905902547,0.006805019262292766,-0.217276121146392,0.36169056258969745,0.6549654925225886,0.3736011705676277
8,4,temporal_only,0.3651473220723862,0.04283440200449775,0.0687411283966451,0.2535717916712434,0.21073738966674563,0.1848306632745983,0.2565368787521668,0.33403211987284037,0.5408491679555343
8,4,measurement_and_temporal,0.43699860935046797,0.0786988873096461,0.0760441748656356,0.28225554717518625,0.20355665986554017,0.20621137230955067,0.3317915319244103,0.34092630014233033,0.5585275592956153
9,4,temporal_only,0.42274904037835803,0.17547808812906593,0.01937880739292071,0.2278921448563714,0.05241405672730548,0.2085133374634507,0.4573760472312106,0.18543365942850992,0.5115099470517277
9,4,measurement_and_temporal,0.6183080559695919,0.1423972020302052,0.0340143584026665,0.4418964955367202,0.29949929350651505,0.40788213713405375,0.4746680820049169,0.2817196866720691,0.7259805601872505
10,4,temporal_only,0.45094713908119033,0.05146118024622953,0.17000014619630444,0.22948581263865633,0.1780246323924268,0.0594856664423519,0.2866763862224438,0.5200630859959803,0.5431028230281869
10,4,measurement_and_temporal,0.3065428358576173,0.00602596360549527,0.012904589962377347,0.2876122822897447,0.28158631868424944,0.27470769232736736,-0.09372553863914819,0.07642854409967725,0.5337662711461727
11,4,temporal_only,0.3947112131482031,0.0462082930307261,0.0718349658326411,0.2766679542848359,0.23045966125410983,0.20483298845219483,0.25260885104878444,0.3700575254409201,0.5593079778103304
11,4,measurement_and_temporal,0.42172420856864334,0.02356339012226853,0.23917314810608947,0.15898767034028535,0.13542428021801683,-0.08018547776580412,0.04924976202946539,0.5626381897237673,0.5074659970275974
