omitted_month,ar_order,phi,republican_polarization,democrat_polarization,polarization_effect_contrast
2022-03,0,0.0,0.13863933558655878,-0.09482792890954433,0.2334672644961031
2022-04,0,0.0,0.04978716607300393,-0.10527704350685459,0.1550642095798585
2022-05,0,0.0,0.015194620443555351,-0.08707755612056098,0.10227217656411633
2022-06,0,0.0,-0.194684143313585,-0.20382704001938257,0.00914289670579757
2022-07,0,0.0,-0.15021874270551733,-0.03739682681856132,-0.112821915886956
2022-08,0,0.0,-0.000831298251692161,-0.1725001399087963,0.17166884165710417
2022-09,0,0.0,-0.08294184996959192,-0.12162196527802802,0.0386801153084361
2022-10,0,0.0,0.21112509237193477,-0.11661724365535184,0.32774233602728664
2022-11,0,0.0,0.09099178573085408,-0.17255504067122351,0.2635468264020776
2022-12,0,0.0,0.15160241480914247,-0.08161340625316658,0.23321582106230904
2023-01,0,0.0,0.05163880551050418,-0.10602957190528488,0.15766837741578904
2023-02,0,0.0,0.02967765284648441,-0.10179239851114888,0.1314700513576333
2023-03,0,0.0,0.09710922888238667,-0.1098888712627359,0.20699810014512257
2023-04,0,0.0,0.034586933644605904,-0.08960371700540891,0.1241906506500148
2023-05,0,0.0,0.027332356787465373,-0.060217653752111494,0.08755001053957687
2023-06,0,0.0,0.08639132581431919,-0.15422343229937574,0.24061475811369493
2023-07,0,0.0,0.15513256942067688,-0.0891306789270466,0.24426324834772348
2023-08,0,0.0,0.016334767908464137,-0.06561624062819757,0.0819510085366617
2023-09,0,0.0,0.059364015062816244,-0.08953494740380713,0.14889896246662337
2023-10,0,0.0,0.06346240936714764,-0.10394665719505344,0.1674090665622011
2023-11,0,0.0,0.04987324785096517,-0.10444261814301128,0.15431586599397645
2023-12,0,0.0,0.054312037824914165,-0.10290342385570964,0.1572154616806238
2024-01,0,0.0,0.039476320397260595,-0.10291474103064782,0.14239106142790842
2024-02,0,0.0,0.04360029804724706,-0.1020344373935156,0.14563473544076266
2024-03,0,0.0,0.03101326158199788,-0.08044068624190481,0.1114539478239027
2024-04,0,0.0,0.08061205051030254,-0.1088077307523798,0.18941978126268233
2024-05,0,0.0,0.09065434348273016,-0.09859458231342004,0.1892489257961502
2024-06,0,0.0,0.06441393103529683,-0.06622262962203875,0.1306365606573356
2024-07,0,0.0,0.05835707142326622,-0.09914932708306576,0.15750639850633197
2024-08,0,0.0,0.0503809047472883,-0.10344238188822244,0.15382328663551073
2024-09,0,0.0,0.04192130325786206,-0.10050810294981907,0.14242940620768113
2024-10,0,0.0,0.04750459239660154,-0.09918807533948545,0.146692667736087
2024-11,0,0.0,0.0485093118377992,-0.10391528889756414,0.15242460073536335
2024-12,0,0.0,0.03388241753552464,-0.12322076315364427,0.1571031806891689
